date;age60;reported;nowcast_est;nowcast_lwr;nowcast_upr;reported7;nowcast7_est;nowcast7_lwr;nowcast7_upr;F_est;F_lwr;F_upr
2021-10-11;ja;59;59,9;59,6;60,5;291;296,2;294,1;300,5;0,9845820407926077;0,9896385214518812;0,9754216119612200
2021-10-11;nein;35;35,8;35,5;36,1;213;217,3;215,9;220,3;0,9787963211339227;0,9849416964637308;0,9685643248178862
2021-10-10;alle;55;56,0;55,7;56,6;498;506,6;503,8;512,1;NA;NA;NA
2021-10-10;ja;33;33,6;33,4;34,0;284;288,7;286,8;293,0;0,9828830878551132;0,9892906579290980;0,9695503228875184
2021-10-10;nein;22;22,4;22,3;22,7;214;217,9;216,5;220,8;0,9799931437542161;0,9864642205762342;0,9680340300644920
2021-10-09;alle;63;64,4;63,9;65,2;511;519,3;516,6;524,8;NA;NA;NA
2021-10-09;ja;32;32,7;32,4;33,2;285;289,6;287,6;293,8;0,9798730604780477;0,9880412968454561;0,9626554113707736
2021-10-09;nein;31;31,7;31,5;32,2;226;229,8;228,3;232,7;0,9781009375624252;0,9856069336284085;0,9635847322794119
2021-10-08;alle;83;85,2;84,4;86,7;513;520,8;518,1;526,2;NA;NA;NA
2021-10-08;ja;45;46,2;45,7;47,4;291;295,4;293,5;299,7;0,9744077394367777;0,9854065774786888;0,9500797141268593
2021-10-08;nein;38;39,0;38,6;39,8;222;225,3;224,0;228,2;0,9746866556636365;0,9838528450726266;0,9554647518419217
2021-10-07;alle;65;66,5;66,0;67,5;514;520,7;518,3;525,8;NA;NA;NA
2021-10-07;ja;34;34,8;34,4;35,5;286;289,9;288,1;294,0;0,9780513329470175;0,9874326082718689;0,9575161829806370
2021-10-07;nein;31;31,7;31,4;32,2;228;230,8;229,5;233,5;0,9778588622465514;0,9860732510622957;0,9613061089427235
2021-10-06;alle;64;64,8;64,6;65,4;512;517,8;515,6;522,6;NA;NA;NA
2021-10-06;ja;38;38,5;38,3;38,9;288;291,6;289,8;295,5;0,9876529557198404;0,9927524773285613;0,9773470973845115
2021-10-06;nein;26;26,4;26,2;26,6;224;226,2;225,2;228,7;0,9860906396674652;0,9913481822542088;0,9763392559651038
2021-10-05;alle;80;81,0;80,6;81,6;533;537,9;536,0;542,2;NA;NA;NA
2021-10-05;ja;50;50,6;50,3;51,1;287;290,1;288,5;293,6;0,9882009959941631;0,9932346228727600;0,9780030297439627
2021-10-05;nein;30;30,4;30,2;30,7;246;247,9;246,9;250,1;0,9875117004432914;0,9925637981630367;0,9774500485746674
2021-10-04;alle;88;88,8;88,5;89,4;530;534,0;532,3;537,6;NA;NA;NA
2021-10-04;ja;52;52,5;52,3;52,9;278;280,5;279,2;283,5;0,9908061673774369;0,9949160452798358;0,9825865367668739
2021-10-04;nein;36;36,3;36,2;36,6;252;253,5;252,7;255,4;0,9911099473270313;0,9950944922708842;0,9832039869349465
2021-10-03;alle;68;68,7;68,4;69,3;564;567,2;565,8;570,3;NA;NA;NA
2021-10-03;ja;34;34,4;34,2;34,9;292;294,0;292,9;296,6;0,9882360910630706;0,9940667301599886;0,9755631042129772
2021-10-03;nein;34;34,3;34,2;34,7;272;273,2;272,5;274,8;0,9909011043583890;0,9955616099064709;0,9806714925113998
2021-10-02;alle;65;65,8;65,5;66,5;553;555,4;554,4;558,0;NA;NA;NA
2021-10-02;ja;38;38,5;38,3;39,2;283;284,6;283,7;286,7;0,9861914802156131;0,9934249839217487;0,9701387418255364
2021-10-02;nein;27;27,3;27,1;27,6;270;270,8;270,4;272,1;0,9905443992798371;0,9957131523760790;0,9783642721826341
2021-10-01;alle;84;85,1;84,6;86,3;553;554,7;553,9;556,5;NA;NA;NA
2021-10-01;ja;40;40,7;40,3;41,6;275;276,1;275,5;277,6;0,9830932895134581;0,9924673339950629;0,9612994438308653
2021-10-01;nein;44;44,4;44,2;45,1;278;278,6;278,2;279,5;0,9902097136981333;0,9960100061966471;0,9751373544994476
2021-09-30;alle;63;63,5;63,3;64,2;539;539,5;539,3;540,2;NA;NA;NA
2021-09-30;ja;36;36,4;36,2;37,0;270;270,4;270,2;271,0;0,9893049533441234;0,9955464893791776;0,9738277054238205
2021-09-30;nein;27;27,1;27,1;27,4;269;269,1;269,1;269,4;0,9946453027720649;0,9979938798797479;0,9853790638515268
2021-09-29;alle;85;85,0;85,0;85,0;540;540,0;540,0;540,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-29;ja;37;37,0;37,0;37,0;262;262,0;262,0;262,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-29;nein;48;48,0;48,0;48,0;278;278,0;278,0;278,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-28;alle;77;77,0;77,0;77,0;525;525,0;525,0;525,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-28;ja;41;41,0;41,0;41,0;256;256,0;256,0;256,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-28;nein;36;36,0;36,0;36,0;269;269,0;269,0;269,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-27;alle;122;122,0;122,0;122,0;516;516,0;516,0;516,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-27;ja;66;66,0;66,0;66,0;246;246,0;246,0;246,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-27;nein;56;56,0;56,0;56,0;270;270,0;270,0;270,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-26;alle;57;57,0;57,0;57,0;469;469,0;469,0;469,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-26;ja;25;25,0;25,0;25,0;211;211,0;211,0;211,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
