date;age60;reported;nowcast_est;nowcast_lwr;nowcast_upr;reported7;nowcast7_est;nowcast7_lwr;nowcast7_upr
2021-07-16;nein;7;7,0;7,0;7,0;34;34,0;34,0;34,0
2021-07-15;alle;5;5,0;5,0;5,0;53;53,0;53,0;53,0
2021-07-15;ja;4;4,0;4,0;4,0;21;21,0;21,0;21,0
2021-07-15;nein;1;1,0;1,0;1,0;32;32,0;32,0;32,0
2021-07-14;alle;9;9,0;9,0;9,0;53;53,0;53,0;53,0
2021-07-14;ja;2;2,0;2,0;2,0;20;20,0;20,0;20,0
2021-07-14;nein;7;7,0;7,0;7,0;33;33,0;33,0;33,0
2021-07-13;alle;11;11,0;11,0;11,0;51;51,0;51,0;51,0
2021-07-13;ja;6;6,0;6,0;6,0;21;21,0;21,0;21,0
2021-07-13;nein;5;5,0;5,0;5,0;30;30,0;30,0;30,0
2021-07-12;alle;6;6,0;6,0;6,0;54;54,0;54,0;54,0
2021-07-12;ja;2;2,0;2,0;2,0;22;22,0;22,0;22,0
2021-07-12;nein;4;4,0;4,0;4,0;32;32,0;32,0;32,0
2021-07-11;alle;5;5,0;5,0;5,0;65;65,0;65,0;65,0
2021-07-11;ja;1;1,0;1,0;1,0;28;28,0;28,0;28,0
2021-07-11;nein;4;4,0;4,0;4,0;37;37,0;37,0;37,0
2021-07-10;alle;7;7,0;7,0;7,0;64;64,0;64,0;64,0
2021-07-10;ja;1;1,0;1,0;1,0;30;30,0;30,0;30,0
2021-07-10;nein;6;6,0;6,0;6,0;34;34,0;34,0;34,0
2021-07-09;alle;10;10,0;10,0;10,0;62;62,0;62,0;62,0
2021-07-09;ja;5;5,0;5,0;5,0;32;32,0;32,0;32,0
2021-07-09;nein;5;5,0;5,0;5,0;30;30,0;30,0;30,0
2021-07-08;alle;5;5,0;5,0;5,0;55;55,0;55,0;55,0
2021-07-08;ja;3;3,0;3,0;3,0;30;30,0;30,0;30,0
2021-07-08;nein;2;2,0;2,0;2,0;25;25,0;25,0;25,0
2021-07-07;alle;7;7,0;7,0;7,0;61;61,0;61,0;61,0
2021-07-07;ja;3;3,0;3,0;3,0;33;33,0;33,0;33,0
2021-07-07;nein;4;4,0;4,0;4,0;28;28,0;28,0;28,0
2021-07-06;alle;14;14,0;14,0;14,0;62;62,0;62,0;62,0
2021-07-06;ja;7;7,0;7,0;7,0;33;33,0;33,0;33,0
2021-07-06;nein;7;7,0;7,0;7,0;29;29,0;29,0;29,0
2021-07-05;alle;17;17,0;17,0;17,0;55;55,0;55,0;55,0
2021-07-05;ja;8;8,0;8,0;8,0;29;29,0;29,0;29,0
2021-07-05;nein;9;9,0;9,0;9,0;26;26,0;26,0;26,0
2021-07-04;alle;4;4,0;4,0;4,0;55;55,0;55,0;55,0
2021-07-04;ja;3;3,0;3,0;3,0;26;26,0;26,0;26,0
2021-07-04;nein;1;1,0;1,0;1,0;29;29,0;29,0;29,0
2021-07-03;alle;5;5,0;5,0;5,0;55;55,0;55,0;55,0
2021-07-03;ja;3;3,0;3,0;3,0;26;26,0;26,0;26,0
2021-07-03;nein;2;2,0;2,0;2,0;29;29,0;29,0;29,0
2021-07-02;alle;3;3,0;3,0;3,0;59;59,0;59,0;59,0
2021-07-02;ja;3;3,0;3,0;3,0;24;24,0;24,0;24,0
2021-07-02;nein;0;0,0;0,0;0,0;35;35,0;35,0;35,0
2021-07-01;alle;11;11,0;11,0;11,0;63;63,0;63,0;63,0
2021-07-01;ja;6;6,0;6,0;6,0;24;24,0;24,0;24,0
2021-07-01;nein;5;5,0;5,0;5,0;39;39,0;39,0;39,0
2021-06-30;alle;8;8,0;8,0;8,0;63;63,0;63,0;63,0
2021-06-30;ja;3;3,0;3,0;3,0;23;23,0;23,0;23,0
2021-06-30;nein;5;5,0;5,0;5,0;40;40,0;40,0;40,0
2021-06-29;alle;7;7,0;7,0;7,0;64;64,0;64,0;64,0
2021-06-29;ja;3;3,0;3,0;3,0;24;24,0;24,0;24,0
2021-06-29;nein;4;4,0;4,0;4,0;40;40,0;40,0;40,0
