Bundesland,Altersgruppe,Meldedatum,Kalenderjahr,Kalenderwoche,Neuerkrankung,Hospitalisierung,index,population
Sachsen,80+,2020-01-12,2020,2,0,0,2,361502
Sachsen-Anhalt,00-04,2020-01-12,2020,2,0,0,2,87877
Sachsen-Anhalt,05-14,2020-01-12,2020,2,0,0,2,182524
Sachsen-Anhalt,15-34,2020-01-12,2020,2,0,0,2,394869
Sachsen-Anhalt,35-59,2020-01-12,2020,2,0,0,2,745827
Sachsen-Anhalt,60-79,2020-01-12,2020,2,0,0,2,585321
Sachsen-Anhalt,80+,2020-01-12,2020,2,0,0,2,191330
Schleswig-Holstein,00-04,2020-01-12,2020,2,0,0,2,129800
Schleswig-Holstein,05-14,2020-01-12,2020,2,0,0,2,261702
Schleswig-Holstein,15-34,2020-01-12,2020,2,0,0,2,627902
Schleswig-Holstein,35-59,2020-01-12,2020,2,0,0,2,1006281
Schleswig-Holstein,60-79,2020-01-12,2020,2,0,0,2,663225
Schleswig-Holstein,80+,2020-01-12,2020,2,0,0,2,220518
Thueringen,00-04,2020-01-12,2020,2,0,0,2,87718
Thueringen,05-14,2020-01-12,2020,2,0,0,2,184533
Thueringen,15-34,2020-01-12,2020,2,0,0,2,386793
Thueringen,35-59,2020-01-12,2020,2,0,0,2,720476
Thueringen,60-79,2020-01-12,2020,2,0,0,2,558709
Thueringen,80+,2020-01-12,2020,2,0,0,2,179123
Baden-Wuerttemberg,00-04,2020-01-19,2020,3,0,0,3,549986
Baden-Wuerttemberg,05-14,2020-01-19,2020,3,0,0,3,1014378
Baden-Wuerttemberg,15-34,2020-01-19,2020,3,0,0,3,2678250
Baden-Wuerttemberg,35-59,2020-01-19,2020,3,0,0,3,3822725
Baden-Wuerttemberg,60-79,2020-01-19,2020,3,0,0,3,2286835
Baden-Wuerttemberg,80+,2020-01-19,2020,3,0,0,3,751989
Bayern,00-04,2020-01-19,2020,3,0,0,3,650503
Bayern,05-14,2020-01-19,2020,3,0,0,3,1157241
Bayern,15-34,2020-01-19,2020,3,0,0,3,3103465
Bayern,35-59,2020-01-19,2020,3,0,0,3,4601435
Bayern,60-79,2020-01-19,2020,3,0,0,3,2743938
Bayern,80+,2020-01-19,2020,3,0,0,3,871866
Berlin,00-04,2020-01-19,2020,3,0,0,3,191397
Berlin,05-14,2020-01-19,2020,3,0,0,3,332599
Berlin,15-34,2020-01-19,2020,3,0,0,3,947650
Berlin,35-59,2020-01-19,2020,3,0,0,3,1275540
Berlin,60-79,2020-01-19,2020,3,0,0,3,694774
Berlin,80+,2020-01-19,2020,3,0,0,3,221362
Brandenburg,00-04,2020-01-19,2020,3,0,0,3,108401
Brandenburg,05-14,2020-01-19,2020,3,0,0,3,231502
Brandenburg,15-34,2020-01-19,2020,3,0,0,3,435611
Brandenburg,35-59,2020-01-19,2020,3,0,0,3,908807
Brandenburg,60-79,2020-01-19,2020,3,0,0,3,638658
Brandenburg,80+,2020-01-19,2020,3,0,0,3,208572
Bremen,00-04,2020-01-19,2020,3,0,0,3,34034
Bremen,05-14,2020-01-19,2020,3,0,0,3,60178
Bremen,15-34,2020-01-19,2020,3,0,0,3,172904
Bremen,35-59,2020-01-19,2020,3,0,0,3,225427
Bremen,60-79,2020-01-19,2020,3,0,0,3,140249
Bremen,80+,2020-01-19,2020,3,0,0,3,47379
Hamburg,00-04,2020-01-19,2020,3,0,0,3,99224
Hamburg,05-14,2020-01-19,2020,3,0,0,3,166713
Hamburg,15-34,2020-01-19,2020,3,0,0,3,493650
Hamburg,35-59,2020-01-19,2020,3,0,0,3,654824
Hamburg,60-79,2020-01-19,2020,3,0,0,3,325912
Hamburg,80+,2020-01-19,2020,3,0,0,3,112515
Hessen,00-04,2020-01-19,2020,3,0,0,3,304428
Hessen,05-14,2020-01-19,2020,3,0,0,3,579964
Hessen,15-34,2020-01-19,2020,3,0,0,3,1469929
Hessen,35-59,2020-01-19,2020,3,0,0,3,2193749
Hessen,60-79,2020-01-19,2020,3,0,0,3,1320559
Hessen,80+,2020-01-19,2020,3,0,0,3,422139
Mecklenburg-Vorpommern,00-04,2020-01-19,2020,3,0,0,3,66216
Mecklenburg-Vorpommern,05-14,2020-01-19,2020,3,0,0,3,140750
Mecklenburg-Vorpommern,15-34,2020-01-19,2020,3,0,0,3,295487
Mecklenburg-Vorpommern,35-59,2020-01-19,2020,3,0,0,3,554265
Mecklenburg-Vorpommern,60-79,2020-01-19,2020,3,0,0,3,420800
Mecklenburg-Vorpommern,80+,2020-01-19,2020,3,0,0,3,133378
Niedersachsen,00-04,2020-01-19,2020,3,0,0,3,380629
Niedersachsen,05-14,2020-01-19,2020,3,0,0,3,724185
Niedersachsen,15-34,2020-01-19,2020,3,0,0,3,1803724
Niedersachsen,35-59,2020-01-19,2020,3,0,0,3,2728615
Niedersachsen,60-79,2020-01-19,2020,3,0,0,3,1769714
Niedersachsen,80+,2020-01-19,2020,3,0,0,3,580572
Nordrhein-Westfalen,00-04,2020-01-19,2020,3,0,0,3,875319
Nordrhein-Westfalen,05-14,2020-01-19,2020,3,0,0,3,1649725
Nordrhein-Westfalen,15-34,2020-01-19,2020,3,0,0,3,4197591
Nordrhein-Westfalen,35-59,2020-01-19,2020,3,0,0,3,6141151
Nordrhein-Westfalen,60-79,2020-01-19,2020,3,0,0,3,3823400
Nordrhein-Westfalen,80+,2020-01-19,2020,3,0,0,3,1262725
Rheinland-Pfalz,00-04,2020-01-19,2020,3,0,0,3,195044
Rheinland-Pfalz,05-14,2020-01-19,2020,3,0,0,3,366538
Rheinland-Pfalz,15-34,2020-01-19,2020,3,0,0,3,916852
Rheinland-Pfalz,35-59,2020-01-19,2020,3,0,0,3,1404114
Rheinland-Pfalz,60-79,2020-01-19,2020,3,0,0,3,923831
Rheinland-Pfalz,80+,2020-01-19,2020,3,0,0,3,293640
Saarland,00-04,2020-01-19,2020,3,0,0,3,41350
Saarland,05-14,2020-01-19,2020,3,0,0,3,80000
Saarland,15-34,2020-01-19,2020,3,0,0,3,212117
Saarland,35-59,2020-01-19,2020,3,0,0,3,330038
Saarland,60-79,2020-01-19,2020,3,0,0,3,243324
Saarland,80+,2020-01-19,2020,3,0,0,3,78108
Sachsen,00-04,2020-01-19,2020,3,0,0,3,180790
Sachsen,05-14,2020-01-19,2020,3,0,0,3,366870
Sachsen,15-34,2020-01-19,2020,3,0,0,3,785543
Sachsen,35-59,2020-01-19,2020,3,0,0,3,1357685
Sachsen,60-79,2020-01-19,2020,3,0,0,3,1009578
Sachsen,80+,2020-01-19,2020,3,0,0,3,361502
Sachsen-Anhalt,00-04,2020-01-19,2020,3,0,0,3,87877
Sachsen-Anhalt,05-14,2020-01-19,2020,3,0,0,3,182524
Sachsen-Anhalt,15-34,2020-01-19,2020,3,0,0,3,394869
Sachsen-Anhalt,35-59,2020-01-19,2020,3,0,0,3,745827
Sachsen-Anhalt,60-79,2020-01-19,2020,3,0,0,3,585321
Sachsen-Anhalt,80+,2020-01-19,2020,3,0,0,3,191330
Schleswig-Holstein,00-04,2020-01-19,2020,3,0,0,3,129800
Schleswig-Holstein,05-14,2020-01-19,2020,3,0,0,3,261702
Schleswig-Holstein,15-34,2020-01-19,2020,3,0,0,3,627902
Schleswig-Holstein,35-59,2020-01-19,2020,3,0,0,3,1006281
Schleswig-Holstein,60-79,2020-01-19,2020,3,0,0,3,663225
Schleswig-Holstein,80+,2020-01-19,2020,3,0,0,3,220518
Thueringen,00-04,2020-01-19,2020,3,0,0,3,87718
Thueringen,05-14,2020-01-19,2020,3,0,0,3,184533
Thueringen,15-34,2020-01-19,2020,3,0,0,3,386793
Thueringen,35-59,2020-01-19,2020,3,0,0,3,720476
Thueringen,60-79,2020-01-19,2020,3,0,0,3,558709
Thueringen,80+,2020-01-19,2020,3,0,0,3,179123
Baden-Wuerttemberg,00-04,2020-01-26,2020,4,0,0,4,549986
Baden-Wuerttemberg,05-14,2020-01-26,2020,4,0,0,4,1014378
Baden-Wuerttemberg,15-34,2020-01-26,2020,4,0,0,4,2678250
Baden-Wuerttemberg,35-59,2020-01-26,2020,4,0,0,4,3822725
Baden-Wuerttemberg,60-79,2020-01-26,2020,4,0,0,4,2286835
Baden-Wuerttemberg,80+,2020-01-26,2020,4,0,0,4,751989
Bayern,00-04,2020-01-26,2020,4,0,0,4,650503
Bayern,05-14,2020-01-26,2020,4,0,0,4,1157241
Bayern,15-34,2020-01-26,2020,4,0,0,4,3103465
Bayern,35-59,2020-01-26,2020,4,0,0,4,4601435
Bayern,60-79,2020-01-26,2020,4,0,0,4,2743938
Bayern,80+,2020-01-26,2020,4,0,0,4,871866
Berlin,00-04,2020-01-26,2020,4,0,0,4,191397
Berlin,05-14,2020-01-26,2020,4,0,0,4,332599
Berlin,15-34,2020-01-26,2020,4,0,0,4,947650
Berlin,35-59,2020-01-26,2020,4,0,0,4,1275540
Berlin,60-79,2020-01-26,2020,4,0,0,4,694774
Berlin,80+,2020-01-26,2020,4,0,0,4,221362
Brandenburg,00-04,2020-01-26,2020,4,0,0,4,108401
Brandenburg,05-14,2020-01-26,2020,4,0,0,4,231502
Brandenburg,15-34,2020-01-26,2020,4,0,0,4,435611
Brandenburg,35-59,2020-01-26,2020,4,0,0,4,908807
Brandenburg,60-79,2020-01-26,2020,4,0,0,4,638658
Brandenburg,80+,2020-01-26,2020,4,0,0,4,208572
Bremen,00-04,2020-01-26,2020,4,0,0,4,34034
Bremen,05-14,2020-01-26,2020,4,0,0,4,60178
Bremen,15-34,2020-01-26,2020,4,0,0,4,172904
Bremen,35-59,2020-01-26,2020,4,0,0,4,225427
Bremen,60-79,2020-01-26,2020,4,0,0,4,140249
Bremen,80+,2020-01-26,2020,4,0,0,4,47379
Hamburg,00-04,2020-01-26,2020,4,0,0,4,99224
Hamburg,05-14,2020-01-26,2020,4,0,0,4,166713
Hamburg,15-34,2020-01-26,2020,4,0,0,4,493650
Hamburg,35-59,2020-01-26,2020,4,0,0,4,654824
Hamburg,60-79,2020-01-26,2020,4,0,0,4,325912
Hamburg,80+,2020-01-26,2020,4,0,0,4,112515
Hessen,00-04,2020-01-26,2020,4,0,0,4,304428
Hessen,05-14,2020-01-26,2020,4,0,0,4,579964
Hessen,15-34,2020-01-26,2020,4,0,0,4,1469929
Hessen,35-59,2020-01-26,2020,4,0,0,4,2193749
Hessen,60-79,2020-01-26,2020,4,0,0,4,1320559
Hessen,80+,2020-01-26,2020,4,0,0,4,422139
Mecklenburg-Vorpommern,00-04,2020-01-26,2020,4,0,0,4,66216
Mecklenburg-Vorpommern,05-14,2020-01-26,2020,4,0,0,4,140750
Mecklenburg-Vorpommern,15-34,2020-01-26,2020,4,0,0,4,295487
Mecklenburg-Vorpommern,35-59,2020-01-26,2020,4,0,0,4,554265
Mecklenburg-Vorpommern,60-79,2020-01-26,2020,4,0,0,4,420800
Mecklenburg-Vorpommern,80+,2020-01-26,2020,4,0,0,4,133378
Niedersachsen,00-04,2020-01-26,2020,4,0,0,4,380629
Niedersachsen,05-14,2020-01-26,2020,4,0,0,4,724185
Niedersachsen,15-34,2020-01-26,2020,4,0,0,4,1803724
Niedersachsen,35-59,2020-01-26,2020,4,0,0,4,2728615
Niedersachsen,60-79,2020-01-26,2020,4,0,0,4,1769714
Niedersachsen,80+,2020-01-26,2020,4,0,0,4,580572
Nordrhein-Westfalen,00-04,2020-01-26,2020,4,0,0,4,875319
Nordrhein-Westfalen,05-14,2020-01-26,2020,4,0,0,4,1649725
Nordrhein-Westfalen,15-34,2020-01-26,2020,4,0,0,4,4197591
Nordrhein-Westfalen,35-59,2020-01-26,2020,4,0,0,4,6141151
Nordrhein-Westfalen,60-79,2020-01-26,2020,4,0,0,4,3823400
Nordrhein-Westfalen,80+,2020-01-26,2020,4,0,0,4,1262725
Rheinland-Pfalz,00-04,2020-01-26,2020,4,0,0,4,195044
Rheinland-Pfalz,05-14,2020-01-26,2020,4,0,0,4,366538
Rheinland-Pfalz,15-34,2020-01-26,2020,4,0,0,4,916852
Rheinland-Pfalz,35-59,2020-01-26,2020,4,0,0,4,1404114
Rheinland-Pfalz,60-79,2020-01-26,2020,4,0,0,4,923831
Rheinland-Pfalz,80+,2020-01-26,2020,4,0,0,4,293640
Saarland,00-04,2020-01-26,2020,4,0,0,4,41350
Saarland,05-14,2020-01-26,2020,4,0,0,4,80000
Saarland,15-34,2020-01-26,2020,4,0,0,4,212117
Saarland,35-59,2020-01-26,2020,4,0,0,4,330038
Saarland,60-79,2020-01-26,2020,4,0,0,4,243324
Saarland,80+,2020-01-26,2020,4,1,0,4,78108
Sachsen,00-04,2020-01-26,2020,4,0,0,4,180790
Sachsen,05-14,2020-01-26,2020,4,0,0,4,366870
Sachsen,15-34,2020-01-26,2020,4,0,0,4,785543
Sachsen,35-59,2020-01-26,2020,4,0,0,4,1357685
Sachsen,60-79,2020-01-26,2020,4,0,0,4,1009578
Sachsen,80+,2020-01-26,2020,4,0,0,4,361502
Sachsen-Anhalt,00-04,2020-01-26,2020,4,0,0,4,87877
Sachsen-Anhalt,05-14,2020-01-26,2020,4,0,0,4,182524
Sachsen-Anhalt,15-34,2020-01-26,2020,4,0,0,4,394869
Sachsen-Anhalt,35-59,2020-01-26,2020,4,0,0,4,745827
Sachsen-Anhalt,60-79,2020-01-26,2020,4,0,0,4,585321
Sachsen-Anhalt,80+,2020-01-26,2020,4,0,0,4,191330
Schleswig-Holstein,00-04,2020-01-26,2020,4,0,0,4,129800
Schleswig-Holstein,05-14,2020-01-26,2020,4,0,0,4,261702
Schleswig-Holstein,15-34,2020-01-26,2020,4,0,0,4,627902
Schleswig-Holstein,35-59,2020-01-26,2020,4,0,0,4,1006281
Schleswig-Holstein,60-79,2020-01-26,2020,4,0,0,4,663225
Schleswig-Holstein,80+,2020-01-26,2020,4,0,0,4,220518
Thueringen,00-04,2020-01-26,2020,4,0,0,4,87718
Thueringen,05-14,2020-01-26,2020,4,0,0,4,184533
Thueringen,15-34,2020-01-26,2020,4,0,0,4,386793
Thueringen,35-59,2020-01-26,2020,4,0,0,4,720476
Thueringen,60-79,2020-01-26,2020,4,0,0,4,558709
Thueringen,80+,2020-01-26,2020,4,0,0,4,179123
Baden-Wuerttemberg,00-04,2020-02-02,2020,5,0,0,5,549986
Baden-Wuerttemberg,05-14,2020-02-02,2020,5,0,0,5,1014378
Baden-Wuerttemberg,15-34,2020-02-02,2020,5,0,0,5,2678250
Baden-Wuerttemberg,35-59,2020-02-02,2020,5,0,0,5,3822725
Baden-Wuerttemberg,60-79,2020-02-02,2020,5,0,0,5,2286835
Baden-Wuerttemberg,80+,2020-02-02,2020,5,0,0,5,751989
Bayern,00-04,2020-02-02,2020,5,1,0,5,650503
Bayern,05-14,2020-02-02,2020,5,1,0,5,1157241
Bayern,15-34,2020-02-02,2020,5,4,0,5,3103465
